,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.0026038660287081377,-0.02712360446570977,20190719165859
1,2,4.0,aws,Memory,0.252,-0.0019283762629664616,-0.007652286757803419,20190719170207
2,3,8.0,google,General,0.38,-0.0006244342274678097,-0.0016432479670205518,20190719170520
3,4,2.0,google,CPU,0.0709,-0.0006624778751123088,-0.009343834627818176,20190719170740
4,5,8.0,aws,CPU,0.34,-0.002033088334063361,-0.0059796715707745906,20190719171002
5,6,2.0,aws,CPU,0.085,-0.0026304577044025256,-0.030946561228265005,20190719171310
